General government net lending/borrowing (Percent of GDP),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Eritrea,,,,,,,,,,,,,6.9,4.2,8.7,-22.9,-18.4,-5.6,-40.3,-59.7,-36.5,-39.3,-34.1,-22.2,-21.5,-28.7,-18.2,-20.2,-31.6,-21,-17.7,-6,-5.6,-8,-0.4,-3.1,-1.7,-6,4.2,0.6,-4.4,-4,-1,0.1,0.8,0.9,0.9,1
Estonia,,,,,,,,,,,,,,,,-0.2,-0.9,3,0.7,-3.4,-0.1,0.2,0.4,1.8,2.4,1.1,2.9,2.7,-2.6,-2.2,0.2,1.1,-0.3,0.2,0.7,0.1,-0.4,-0.7,-0.6,0.1,-5.6,-2.4,-3.8,-3.6,-3,-2.5,-2,-1.5
Eswatini,5.1,-3.4,0.1,-0.4,1,-1.1,-2.3,2,3.4,5.7,5.3,3.2,-2.7,-3.1,-3.3,0.8,-0.9,2,1,-1.2,-1.2,-2.2,-3.6,-2,-3.9,-1.6,8.4,2.3,1.5,-2.9,-9.1,-3.8,3.3,0.6,-2.7,-6,-9,-6.8,-9.5,-7,-5.4,-5.7,-5.8,-2.6,-1.9,-1.1,-0.9,-0.6
Ethiopia,-2.6,-2.2,-3.6,-7.6,-3.7,-4.7,-4,-3.5,-3.5,-4.3,-6.9,-6,-4.9,-4.1,-5.4,-2.8,-3.9,-1.8,-3.6,-8.5,-8.9,-3.8,-5.8,-5.6,-2.7,-4.1,-3.8,-3.6,-2.9,-0.9,-1.3,-1.6,-1.2,-1.9,-2.6,-1.9,-2.3,-3.2,-3,-2.5,-2.8,-2.8,-4,-3.3,-2.8,-2.5,-2.5,-2.5
Fiji,,,,,,,,,,,,,-2.2,-1.9,-0.2,0.8,-3.5,-4.5,5.4,1.2,-1.3,-4.5,-3.7,-3.5,-1,-1.2,-0.8,0.3,1.3,-2.9,-1.3,-0.7,-0.7,-0.1,-3.5,-3.9,-5.7,-2.1,-4.4,-3.6,-7.9,-12.9,-13.3,-8.9,-4.8,-3.5,-3,-2.7
Finland,2.9,4.8,2.4,0.4,2.7,2.6,3.3,0.7,4.9,7.1,6.6,0.3,-4.9,-8.1,-6.4,-6,-3.4,-1.3,1.5,1.6,6.7,4.9,4,2.3,2.2,2.6,3.9,5.1,4.2,-2.5,-2.5,-1,-2.2,-2.5,-3,-2.4,-1.7,-0.7,-0.9,-0.9,-5.4,-2.8,-2.5,-1.6,-1.4,-1.2,-1.2,-1.2
France,-0.4,-2.4,-2.8,-2.5,-2.7,-3,-3.2,-2,-2.6,-1.8,-2.4,-2.9,-4.6,-6.4,-5.4,-5.1,-3.9,-3.7,-2.4,-1.6,-1.3,-1.4,-3.2,-4,-3.6,-3.4,-2.4,-2.6,-3.3,-7.2,-6.9,-5.2,-5,-4.1,-3.9,-3.6,-3.6,-3,-2.3,-3.1,-9.1,-7,-5.6,-3.8,-3.4,-3.3,-3.3,-3.3
Gabon,,,,,,,,,,,-3.8,-2,-4.9,-5.4,-1.5,2.6,2.1,1.4,-13.1,1.1,11.1,4.1,3.7,7.8,7,8,8.7,8.1,11,6.8,2.7,1.7,6.2,-3.1,6,-1.1,-4.7,-1.7,-0.2,2.1,-2.2,-1.5,1.6,3.5,2.9,2.4,2.4,2.3
"Gambia, The",,,,,,,,,,,,,,,,,,,,,-0.1,-2.5,0.1,-1.7,-1.8,-3.3,-3.2,0.3,-0.5,-1.6,-2.9,-3,-2.8,-5.1,-3.9,-5.4,-6.2,-4.3,-5.7,-2.5,-2.2,-4.4,-4.4,-2.3,-1.5,-0.7,-0.4,-0.4
Georgia,,,,,,,,,,,,,,,,-4.9,-5.9,-6.6,-4,-4.7,-1.9,-0.7,-0.2,-0.5,3.6,2.1,3.3,0.8,-1.9,-6.4,-4.5,-0.8,-0.7,-1.3,-1.8,-1.2,-1.5,-0.5,-0.8,-1.8,-9.3,-6,-3.9,-2.6,-2.2,-2.2,-2.1,-2
Germany,,,,,,,,,,,,-3.2,-2.6,-3.1,-2.5,-9.4,-3.6,-2.9,-2.6,-1.7,-1.6,-3,-3.9,-3.7,-3.3,-3.3,-1.7,0.3,-0.1,-3.2,-4.4,-0.9,0,0,0.6,1,1.2,1.3,1.9,1.5,-4.3,-3.7,-3.3,-0.7,-0.1,0.3,0.4,0.4
Ghana,-4.9,-3.9,-2,-1.2,-1,-1.2,-1.4,-1,-1.2,-0.9,-2.1,-1.6,-4.9,-5.9,-5.4,-4.9,-6,-6.6,-5.7,-6.1,-4.3,-3.9,-2.9,-2.1,-2.2,-2,-3.3,-5.3,-5.9,-5.3,-7.5,-5.5,-8.3,-9.1,-7.8,-4,-6.7,-4,-6.8,-7.3,-15.6,-11.6,-8.7,-7.8,-7.7,-7.4,-7.4,-7.1
Greece,-2.5,-7,-5.5,-6.1,-7.2,-9.5,-8.6,-8,-9.6,-11.8,-13.2,-9.6,-10.6,-11.4,-8.4,-9.8,-8.2,-6.1,-6.3,-5.8,-4.1,-5.5,-6.1,-7.9,-8.9,-6.2,-6,-6.8,-10.3,-15.3,-11.3,-10.5,-6.7,-3.8,-4.1,-3,0.3,0.9,0.8,0.2,-10.9,-8.7,-4.8,-1.8,-1.3,-1.1,-1.1,-0.9
Grenada,,,,,,,,,,,-7.8,-4.3,-1.5,-0.2,-2.8,-0.5,-3,-4.9,-2.4,-2.4,-2.2,-6.1,-14,-3.3,-0.6,0.9,-5.3,-5.9,-3.8,-4.8,-3.2,-4.7,-5.4,-6.8,-4.2,-0.8,2.7,3,4.6,5,1.2,0.3,-3.4,1.7,2.2,2,2.3,2.4
Guatemala,,,,,,,,,,,,,,,,-0.5,0,-0.8,-2.3,-3,-1.9,-2,-1,-2.5,-1,-1.7,-1.9,-1.4,-1.6,-3.1,-3.3,-2.8,-2.4,-2.2,-1.9,-1.5,-1.1,-1.4,-1.9,-2.2,-4.9,-1.2,-2.4,-2,-1.9,-1.9,-1.8,-1.8
Guinea,,,,,,,,,,,-3.9,-3.2,-2.3,-2.6,-2.6,-1.9,-2.2,-2.1,-0.5,-2.2,-2.5,-3.3,-3.5,-4.7,-3.9,-1.1,-2.2,1.3,0.4,-4.9,-9.7,-0.9,-2.5,-3.9,-3.2,-6.9,-0.1,-2.1,-1.1,-0.5,-2.9,-1.5,-4.4,-4.2,-3.6,-3.6,-3.2,-2.7
